text	label
"Info pratique :
Je viens de bouger ma deuxième injection du 24 juillet pour le 13 juillet sur Doctolib. Profitez-en.
#jemevaccine"	1
"🆕️ #SANTE | En plus du vaccin 💉 chinois Sinopharm, le #Gabon a réceptionné ce 09/06/2021, le 1er lot de 10.000  doses du vaccin russe #Sputnik V. 
@PresidenceGabon @PresidentABO @GabonPrimature
@DrObiang @OMS_GABON  @OMS_Afrique @OkoriOssi
#VaccinezVous https://t.co/KmUQG4cnHh"	1
"Ça ne se fait pas de souhaiter que les vaccinés aient leur langue qui pourrisse dans leur bouche ou celle de leurs progénitures non plus.
Non, ça ne se fait pas. https://t.co/xva8nPKpWE"	2
mais attendez mais ma tl c’est que des gosses enft j’pensais vous étiez majeurs vaccinés et avec des gosses	4
JADORE THE VACCINES C VRMT LE GROUPE DE MA VIE JE LES AIMES TROP TROP TROP TROP	4
#Israel a commencé à livrer à l’#Autoritepalestinienne un million de vaccins anti-#Covid_19. On attend un message de félicitations de l’#Organisationmondialedelasante et on est désolé pour les membres du #Bds qui n’ont toujours pas été vaccinés. https://t.co/7R0eQeIlae	1
Santé infantile, étude en Allemagne https://t.co/nMWC4lUmlJ	4
30 millions de vaccinés en France ça fait plaisir	1
Le refrain de l’été dans les trains a un peu changé : « Le port du masque est obligatoire pour tous, vaccinés ou non »... mais tout le monde ne l’entend pas de cette oreille (pas souvent l’occasion de caser cette expression😉) !😷	3
@SanteBelgique Bonjour, n'étant pas vaccinés, si nous partons fin juin 1 semaine dans le sud de la France (département du Var), au retour en Belgique doit-on faire la quarantaine?	3
Si je comprends bien, les français ou les ressortissants de l’🇪🇺 résidant en 🇫🇷 vaccinés à l’étranger ne pourront pas télécharger leur certificat de vaccination sur @TousAntiCovid. Il leur sera donc impossible de l’utiliser à partir du 9 juin.Aucune solution envisagée?@Sante_Gouv	1
Belle matinée au zénith de Dijon, non pas pour un meeting mais pour distribuer des tracts et échanger avec les (futurs) vaccinés en soutien à Marie-Guite Dufay et Notre Région par coeur pour les régionales en BFC ! Ps: oui le zénith est provisoirement un centre de vaccination 🤗 https://t.co/RvPftSAGvd	1
"Nous avons des laboratoires pour fabriquer des vaccins, des médicaments mais pas pour fabriquer une poche de Sang. Le seul laboratoire de fabrication d'une poche de Sang c'est toi alors rejoins nous pour la réussite de cette opération.
@DiagaunetDodie @asalfomagic @gauz04
#CIV225 https://t.co/qFeEjbIpcH"	1
"Il y a une légère subtilité que cette polémique sur les vaccins ne prend pas en compte, on peut très bien revendiquer le #JeNeMeVaccineraiPas "" tant que... "". Et en l'occurrence, tant que l'émergence de cette pléthore de vaccins ne rassurera pas - clarté et pédagogie obligent."	1
"[En direct 🔴] Recherche, prix des médicaments, vaccins, liens d’intérêts avec les médecins : la #pharma répond à toutes les questions du public dans un webinar inédit ici 👉 https://t.co/8yB3MMMbRg 

#LeLeem #RienACacher https://t.co/SOy7U3jbvX"	3
La confusion AstraZeneca mine la confiance des Belges dans tous les vaccins Covid https://t.co/vAlwnpcDU0 https://t.co/IVhUHrGTnL	3
"Qu'est-ce qu'il y a de pire que regarder la piqûre lors des vaccins au Stade de France ?

Regarder LA POUBELLE REMPLIE DE SERINGUES"	1
Les anti-vaccins vous me faites rire	1
"Ça fait 3x que je prends rdv pour le vaccins sur doctolib et j'ai zero confirmation mail/sms et le rdv s'affiche pas sur mon espace je comrpends pas
Pour tout je le prends bien je cocje tout les truc ""j'accepte"""	1
"Tribune de Geneve
""L’Afrique du Sud retire deux millions de vaccins Johnson &amp; Johnson ..... en raison d'«un problème de non conformité» lors de sa fabrication aux Etats-Unis. ...."""	3
Vaccins pour mon bébé aujourd'hui, la kayzotte qui a attrapé une insolation et moi qui a une rage de dent, c'est la totale à la maison 😅  mieux vaut en rire qu'en pleurer hein	1
@cdube_sante Est-ce qu'il y a encore des vaccins AstraZeneca disponibles dans la région Lanaudière/Montréal?	1
"Original de voir @RobertMenardFR démonter @dupontaignan et @f_philippot sur @LCI ,  sur les fakes du virus et de la vaccination....
et d'admirer @millerofficiel rester béat avec son sourire commercial ! 
Etonnant, non ?
🤔🤔🤔"	4
